"Id_zone","Type_zone","Libelle_zone","Public"
02|200071900,EPCI,CC Vendée Grand Littoral,1
02|248500563,EPCI,"CC Vendée, Sèvre, Autise",1
02|244400503,EPCI,CC d'Erdre et Gesvres,1
02|244400537,EPCI,CC de Nozay,1
02|200072882,EPCI,CC de Vie et Boulogne,1
02|245300355,EPCI,CC de l'Ernée,1
02|248500191,EPCI,CC de l'Île de Noirmoutier,1
02|200072718,EPCI,CC de la Champagne Conlinoise et du Pays de Sillé,1
02|244400453,EPCI,CC de la Région de Blain,1
02|200033298,EPCI,CC des Coëvrons,1
02|200072692,EPCI,CC des Vallées de la Braye et de l'Anille,1
02|200071868,EPCI,CC des Vallées du Haut-Anjou,1
02|245300389,EPCI,CC du Bocage Mayennais,1
02|200042182,EPCI,CC du Mont des Avaloirs,1
02|247200348,EPCI,CC du Pays Fléchois,1
02|244400552,EPCI,CC du Pays d'Ancenis,1
02|245300447,EPCI,CC du Pays de Château-Gontier,1
02|200048551,EPCI,CC du Pays de Craon,1
02|245300223,EPCI,CC du Pays de Meslay-Grez,1
02|248500662,EPCI,CC du Pays de Mortagne,1
02|200000438,EPCI,CC du Pays de Pontchâteau Saint-Gildas-des-Bois,1
02|248500464,EPCI,CC du Pays de Pouzauges,1
02|200071918,EPCI,CC du Pays de Saint-Fulgent - Les Essarts,1
02|247200686,EPCI,CC du Pays de l'Huisne Sarthoise,1
02|248500415,EPCI,CC du Pays de la Châtaigneraie,1
02|248500530,EPCI,CC du Pays des Achards,1
02|248500621,EPCI,CC du Pays des Herbiers,1
02|247200421,EPCI,CC du Sud Est Manceau,1
02|244400586,EPCI,CC du Sud Estuaire,1
02|247200629,EPCI,CC du Val de Sarthe,1
02|244900015,EPCI,CU Angers Loire Métropole,1
02|247200132,EPCI,CU Le Mans Métropole,1
02|246100663,EPCI,CU d'Alençon (Partie Pays de la Loire),1
02|244400404,EPCI,Nantes Métropole,1
06|5251,Zone d'emploi,Alençon (Partie Pays de la Loire),1
06|5201,Zone d'emploi,Ancenis,1
06|5202,Zone d'emploi,Angers,1
06|5203,Zone d'emploi,Challans,1
06|5206,Zone d'emploi,Cholet,1
06|5204,Zone d'emploi,Château-Gontier,1
06|5205,Zone d'emploi,Châteaubriant,1
06|5207,Zone d'emploi,Fontenay-le-Comte,1
06|5208,Zone d'emploi,La Ferté-Bernard,1
06|5209,Zone d'emploi,La Flèche,1
06|5210,Zone d'emploi,La Roche-sur-Yon,1
06|5211,Zone d'emploi,Laval,1
06|5212,Zone d'emploi,Le Mans,1
06|5213,Zone d'emploi,Les Herbiers-Montaigu,1
06|5214,Zone d'emploi,Les Sables-d'Olonne,1
06|5215,Zone d'emploi,Mayenne,1
06|5216,Zone d'emploi,Nantes,1
06|5217,Zone d'emploi,Pornic,1
06|5262,Zone d'emploi,Redon (Partie Pays de la Loire),1
06|5218,Zone d'emploi,Sablé-sur-Sarthe,1
06|5219,Zone d'emploi,Saint-Nazaire,1
06|5220,Zone d'emploi,Saumur,1
06|5221,Zone d'emploi,Segré-en-Anjou Bleu,1
08|491,Arrondissement,Angers,1
08|492,Arrondissement,Cholet,1
08|531,Arrondissement,Château-Gontier,1
08|445,Arrondissement,Châteaubriant-Ancenis,1
08|851,Arrondissement,Fontenay-le-Comte,1
08|721,Arrondissement,La Flèche,1
08|852,Arrondissement,La Roche-sur-Yon,1
08|532,Arrondissement,Laval,1
08|723,Arrondissement,Le Mans,1
08|853,Arrondissement,Les Sables-d'Olonne,1
08|722,Arrondissement,Mamers,1
08|533,Arrondissement,Mayenne,1
08|442,Arrondissement,Nantes,1
08|443,Arrondissement,Saint-Nazaire,1
08|493,Arrondissement,Saumur,1
08|494,Arrondissement,Segré,1
07|441,EFOP,Loire-Atlantique Centre,0
07|442,EFOP,Loire-Atlantique Nord,0
07|443,EFOP,Loire-Atlantique Ouest,0
07|444,EFOP,Loire-Atlantique Sud,0
07|491,EFOP,Maine-et-Loire Centre,0
07|492,EFOP,Maine-et-Loire Est,0
07|493,EFOP,Maine-et-Loire Ouest,0
07|494,EFOP,Maine-et-Loire Sud,0
07|531,EFOP,Mayenne Centre,0
07|532,EFOP,Mayenne Nord,0
07|533,EFOP,Mayenne Sud,0
07|721,EFOP,Sarthe Centre,0
07|722,EFOP,Sarthe Nord,0
07|723,EFOP,Sarthe Sud,0
07|851,EFOP,Vendée Centre,0
07|852,EFOP,Vendée Est,0
07|853,EFOP,Vendée Nord,0
07|854,EFOP,Vendée Ouest,0
03|8501,Canton,Aizenay,1
03|4401,Canton,Ancenis-Saint-Géréon,1
03|4908,Canton,Beaufort-en-Anjou,1
03|4909,Canton,Beaupréau-en-Mauges,1
03|4403,Canton,Blain,1
03|5302,Canton,Bonchamp-lès-Laval,1
03|7201,Canton,Bonnétable,1
03|4404,Canton,Carquefou,1
03|8502,Canton,Challans,1
03|7202,Canton,Changé,1
03|8503,Canton,Chantonnay,1
03|4911,Canton,Chemillé-en-Anjou,1
03|4406,Canton,Châteaubriant,1
03|4407,Canton,Clisson,1
03|5304,Canton,Cossé-le-Vivien,1
03|5305,Canton,Ernée,1
03|8505,Canton,Fontenay-le-Comte,1
03|5307,Canton,Gorron,1
03|4408,Canton,Guémené-Penfao,1
03|4409,Canton,Guérande,1
03|5308,Canton,L'Huisserie,1
03|8507,Canton,L'île-d'Yeu,1
03|4402,Canton,La Baule-Escoublac,1
03|4405,Canton,La Chapelle-sur-Erdre,1
03|8504,Canton,La Châtaigneraie,1
03|7205,Canton,La Ferté-Bernard,1
03|7206,Canton,La Flèche,1
03|7221,Canton,La Suze-sur-Sarthe,1
03|5309,Canton,Lassay-les-Châteaux,1
03|7208,Canton,Le Lude,1
03|8506,Canton,Les Herbiers,1
03|8514,Canton,Les Sables-d'Olonne,1
03|5313,Canton,Loiron-Ruillé,1
03|7207,Canton,Loué,1
03|8508,Canton,Luçon,1
03|7209,Canton,Mamers,1
03|8509,Canton,Mareuil-sur-Lay-Dissais,1
03|4916,Canton,Mauges-sur-Loire,1
03|5314,Canton,Mayenne,1
03|5315,Canton,Meslay-du-Maine,1
03|8510,Canton,Montaigu-Vendée,1
03|7203,Canton,Montval-sur-Loir,1
03|8511,Canton,Mortagne-sur-Sèvre,1
03|4418,Canton,Nort-sur-Erdre,1
03|4419,Canton,Pontchâteau,1
03|7217,Canton,Sablé-sur-Sarthe,1
03|5316,Canton,Saint-Berthevin,1
03|4423,Canton,Saint-Brevin-les-Pins,1
03|7218,Canton,Saint-Calais,1
03|8515,Canton,Saint-Hilaire-de-Riez,1
03|8516,Canton,Saint-Jean-de-Monts,1
03|4428,Canton,Saint-Philbert-de-Grand-Lieu,1
03|4429,Canton,Saint-Sébastien-sur-Loire,1
03|4919,Canton,Saumur,1
03|7219,Canton,Savigné-l'Évêque,1
03|4920,Canton,Segré-en-Anjou Bleu,1
03|7220,Canton,Sillé-le-Guillaume,1
03|4918,Canton,Sèvremoine,1
03|8517,Canton,Talmont-Saint-Hilaire,1
03|4430,Canton,Vallet,1
03|4431,Canton,Vertou,1
03|5317,Canton,Villaines-la-Juhel,1
03|7204,Canton,Écommoy,1
03|5306,Canton,Évron,1
01|44001,Commune,Abbaretz,1
01|53001,Commune,Ahuillé,1
01|72001,Commune,Aigné,1
01|44002,Commune,Aigrefeuille-sur-Maine,1
01|72002,Commune,Aillières-Beauvoir,1
01|85003,Commune,Aizenay,1
01|53002,Commune,Alexain,1
01|49002,Commune,Allonnes (49),1
01|72003,Commune,Allonnes (72),1
01|53003,Commune,Ambrières-les-Vallées,1
01|72004,Commune,Amné,1
01|44003,Commune,Ancenis-Saint-Géréon,1
01|72005,Commune,Ancinnes,1
01|53005,Commune,Andouillé,1
01|49007,Commune,Angers,1
01|85004,Commune,Angles (85),1
01|49008,Commune,Angrie,1
01|85005,Commune,Antigny (85),1
01|49009,Commune,Antoigné,1
01|85006,Commune,Apremont (85),1
01|72007,Commune,Ardenay-sur-Mérize,1
01|53007,Commune,Argentré,1
01|49010,Commune,Armaillé,1
01|72008,Commune,Arnage,1
01|53008,Commune,Aron,1
01|53009,Commune,Arquenay,1
01|49011,Commune,Artannes-sur-Thouet,1
01|72009,Commune,Arthezé,1
01|72006,Commune,Arçonnay,1
01|72010,Commune,Asnières-sur-Vègre,1
01|72011,Commune,Assé-le-Boisne,1
01|53010,Commune,Assé-le-Bérenger,1
01|72012,Commune,Assé-le-Riboul,1
01|44006,Commune,Assérac,1
01|53011,Commune,Astillé,1
01|53012,Commune,Athée (53),1
01|85008,Commune,Aubigny-Les Clouzeaux,1
01|72013,Commune,Aubigné-Racan,1
01|49012,Commune,Aubigné-sur-Layon,1
01|85009,Commune,Auchay-sur-Vendée,1
01|72016,Commune,Auvers-le-Hamon,1
01|72017,Commune,Auvers-sous-Montfaucon,1
01|53013,Commune,Averton,1
01|72018,Commune,Avesnes-en-Saosnois,1
01|44007,Commune,Avessac,1
01|72019,Commune,Avessé,1
01|72020,Commune,Avezé,1
01|72021,Commune,Avoise,1
01|49015,Commune,Avrillé (49),1
01|85010,Commune,Avrillé (85),1
01|53016,Commune,Bais (53),1
01|72023,Commune,Ballon-Saint Mars,1
01|53018,Commune,Ballots,1
01|53019,Commune,Bannes (53),1
01|49017,Commune,Baracé,1
01|85011,Commune,Barbâtre,1
01|44009,Commune,Basse-Goulaine,1
01|44010,Commune,Batz-sur-Mer,1
01|49018,Commune,Baugé-en-Anjou,1
01|85013,Commune,Bazoges-en-Paillers,1
01|85014,Commune,Bazoges-en-Pareds,1
01|53025,Commune,Bazougers,1
01|72025,Commune,Bazouges Cré sur Loir,1
01|49020,Commune,Beaucouzé,1
01|72026,Commune,Beaufay,1
01|49021,Commune,Beaufort-en-Anjou,1
01|85015,Commune,Beaufou,1
01|85016,Commune,Beaulieu-sous-la-Roche,1
01|49022,Commune,Beaulieu-sur-Layon,1
01|53026,Commune,Beaulieu-sur-Oudon,1
01|53027,Commune,Beaumont-Pied-de-Bœuf (53),1
01|72028,Commune,Beaumont-Pied-de-Bœuf (72),1
01|72027,Commune,Beaumont-sur-Dême,1
01|72029,Commune,Beaumont-sur-Sarthe,1
01|49023,Commune,Beaupréau-en-Mauges,1
01|85017,Commune,Beaurepaire (85),1
01|85018,Commune,Beauvoir-sur-Mer,1
01|72031,Commune,Beillé,1
01|53028,Commune,Belgeard,1
01|49345,Commune,Bellevigne-en-Layon,1
01|49060,Commune,Bellevigne-les-Châteaux,1
01|85019,Commune,Bellevigny,1
01|85020,Commune,Benet,1
01|72032,Commune,Berfay,1
01|72219,Commune,Bernay-Neuvy-en-Champagne,1
01|44013,Commune,Besné,1
01|85023,Commune,Bessay,1
01|72035,Commune,Bessé-sur-Braye,1
01|53029,Commune,Bierné-les-Villages,1
01|44015,Commune,Blain,1
01|49029,Commune,Blaison-Saint-Sulpice,1
01|53228,Commune,Blandouet-Saint Jean,1
01|49030,Commune,Blou,1
01|72037,Commune,Blèves,1
01|85024,Commune,Bois-de-Céné,1
01|53034,Commune,Bonchamp-lès-Laval,1
01|72039,Commune,Bonnétable,1
01|44018,Commune,Bouaye,1
01|53035,Commune,Bouchamps-lès-Craon,1
01|49035,Commune,Bouchemaine,1
01|53037,Commune,Bouessay,1
01|44020,Commune,Bouguenais,1
01|85028,Commune,Bouillé-Courdault,1
01|49036,Commune,Bouillé-Ménard,1
01|85029,Commune,Bouin,1
01|53038,Commune,Boulay-les-Ifs,1
01|72042,Commune,Bouloire,1
01|49038,Commune,Bourg-l'Évêque,1
01|72043,Commune,Bourg-le-Roi,1
01|53040,Commune,Bourgon,1
01|85033,Commune,Bourneau,1
01|85034,Commune,Bournezeau,1
01|44022,Commune,Boussay (44),1
01|72044,Commune,Bousse (72),1
01|44023,Commune,Bouvron (44),1
01|53036,Commune,Bouère,1
01|44019,Commune,Bouée,1
01|72041,Commune,Bouër,1
01|72038,Commune,Boëssé-le-Sec,1
01|49041,Commune,Brain-sur-Allonnes,1
01|44024,Commune,Brains,1
01|72045,Commune,Brains-sur-Gée,1
01|53041,Commune,Brains-sur-les-Marches,1
01|53042,Commune,Brecé,1
01|85243,Commune,Brem-sur-Mer,1
01|85035,Commune,Bretignolles-sur-Mer,1
01|72047,Commune,Brette-les-Pins,1
01|85037,Commune,Breuil-Barret,1
01|49048,Commune,Briollay,1
01|72048,Commune,Briosne-lès-Sables,1
01|49050,Commune,Brissac Loire Aubance,1
01|49053,Commune,Brossay,1
01|53043,Commune,Brée,1
01|72050,Commune,Brûlon,1
01|49026,Commune,Bécon-les-Granits,1
01|49027,Commune,Bégrolles-en-Mauges,1
01|49028,Commune,Béhuard,1
01|72034,Commune,Bérus,1
01|72036,Commune,Béthon,1
01|44025,Commune,Campbon,1
01|49054,Commune,Candé,1
01|49055,Commune,Cantenay-Épinard,1
01|49056,Commune,Carbay,1
01|53047,Commune,Carelles,1
01|44026,Commune,Carquefou,1
01|44027,Commune,Casson,1
01|49057,Commune,Cernusson,1
01|85041,Commune,Cezais,1
01|72052,Commune,Chahaignes,1
01|53048,Commune,Chailland,1
01|85042,Commune,Chaillé-les-Marais,1
01|49061,Commune,Challain-la-Potherie,1
01|85047,Commune,Challans,1
01|72053,Commune,Challes,1
01|49063,Commune,Chalonnes-sur-Loire,1
01|49064,Commune,Chambellay,1
01|72054,Commune,Champagné,1
01|85049,Commune,Champagné-les-Marais,1
01|72056,Commune,Champfleur,1
01|53052,Commune,Champfrémont,1
01|53053,Commune,Champgenéteux,1
01|72057,Commune,Champrond,1
01|49068,Commune,Champtocé-sur-Loire,1
01|53051,Commune,Champéon,1
01|53054,Commune,Changé (53),1
01|72058,Commune,Changé (72),1
01|49070,Commune,Chanteloup-les-Bois,1
01|72059,Commune,Chantenay-Villedieu,1
01|85051,Commune,Chantonnay,1
01|53055,Commune,Chantrigné,1
01|85302,Commune,Chanverrie,1
01|53061,Commune,Charchigné,1
01|85058,Commune,Chasnais,1
01|72070,Commune,Chassillé,1
01|85064,Commune,Chauché,1
01|49082,Commune,Chaudefonds-sur-Layon,1
01|72073,Commune,Chaufour-Notre-Dame,1
01|44005,Commune,Chaumes-en-Retz,1
01|44038,Commune,Chauvé,1
01|85065,Commune,Chavagnes-en-Paillers,1
01|85066,Commune,Chavagnes-les-Redoux,1
01|49089,Commune,Chazé-sur-Argos,1
01|49090,Commune,Cheffes,1
01|85067,Commune,Cheffois,1
01|44039,Commune,Cheix-en-Retz,1
01|53066,Commune,Chemazé,1
01|49092,Commune,Chemillé-en-Anjou,1
01|72074,Commune,Chemiré-en-Charnie,1
01|72075,Commune,Chemiré-le-Gaudin,1
01|72076,Commune,Chenay (72),1
01|49067,Commune,Chenillé-Champteussé,1
01|72077,Commune,Chenu,1
01|72080,Commune,Cherré-Au,1
01|53069,Commune,Chevaigné-du-Maine,1
01|72083,Commune,Chevillé,1
01|49099,Commune,Cholet,1
