Id_zone,Type_zone,Libelle_zone,value,label
02|200083392,EPCI,CA Laval Agglomération,84,EPCI - CA Laval Agglomération
02|200071165,EPCI,CA Les Sables d'Olonne Agglomération,85,EPCI - CA Les Sables d'Olonne Agglomération
02|200060010,EPCI,CA Mauges Communauté,86,EPCI - CA Mauges Communauté
02|200067346,EPCI,CA Pornic Agglo Pays de Retz,87,EPCI - CA Pornic Agglo Pays de Retz
02|243500741,EPCI,CA Redon Agglomération (Partie Pays de la Loire),88,EPCI - CA Redon Agglomération (Partie Pays de la Loire)
02|200071876,EPCI,CA Saumur Val de Loire,89,EPCI - CA Saumur Val de Loire
02|200070233,EPCI,CA Terres de Montaigu,90,EPCI - CA Terres de Montaigu
02|244400610,EPCI,CA de la Presqu'île de Guérande Atlantique (Cap Atlantique) (Partie Pays de la Loire),91,EPCI - CA de la Presqu'île de Guérande Atlantique (Cap Atlantique) (Partie Pays de la Loire)
02|244400644,EPCI,CA de la Région Nazairienne et de l'Estuaire (CARENE),92,EPCI - CA de la Région Nazairienne et de l'Estuaire (CARENE)
02|200023778,EPCI,CA du Pays de Saint-Gilles-Croix-de-Vie,93,EPCI - CA du Pays de Saint-Gilles-Croix-de-Vie
02|244900809,EPCI,CC Anjou Bleu Communauté,94,EPCI - CC Anjou Bleu Communauté
02|200068955,EPCI,CC Anjou Loir et Sarthe,95,EPCI - CC Anjou Loir et Sarthe
02|244900882,EPCI,CC Baugeois Vallée,96,EPCI - CC Baugeois Vallée
02|200071629,EPCI,CC Challans-Gois Communauté,97,EPCI - CC Challans-Gois Communauté
02|200072726,EPCI,CC Châteaubriant-Derval,98,EPCI - CC Châteaubriant-Derval
02|247200090,EPCI,CC Communauté de communes du Pays Sabolien,99,EPCI - CC Communauté de communes du Pays Sabolien
02|200072734,EPCI,CC Estuaire et Sillon,100,EPCI - CC Estuaire et Sillon
02|244400438,EPCI,CC Grand Lieu Communauté,101,EPCI - CC Grand Lieu Communauté
02|200072700,EPCI,CC Haute Sarthe Alpes Mancelles,102,EPCI - CC Haute Sarthe Alpes Mancelles
02|200072684,EPCI,CC Le Gesnois Bilurien,103,EPCI - CC Le Gesnois Bilurien
02|200070373,EPCI,CC Loir-Lucé-Bercé,104,EPCI - CC Loir-Lucé-Bercé
02|200071553,EPCI,CC Loire Layon Aubance,105,EPCI - CC Loire Layon Aubance
02|200040475,EPCI,CC Loué - Brûlon - Noyen,106,EPCI - CC Loué - Brûlon - Noyen
02|200068963,EPCI,CC Maine Cœur de Sarthe,107,EPCI - CC Maine Cœur de Sarthe
02|200072676,EPCI,CC Maine Saosnois (Partie Pays de la Loire),108,EPCI - CC Maine Saosnois (Partie Pays de la Loire)
02|200055887,EPCI,CC Mayenne Communauté,109,EPCI - CC Mayenne Communauté
